Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A878888,"500 WEST 2ND
AUSTIN 78701
(30.26581, -97.74955)",Yes (come to the shelter),04/18/2023,Cat,Domestic Longhair Mix,Black/White,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878888
A878876,"183 AUSTIN78744
(41.26043, -75.8429)",No (contact for more info),04/18/2023,Cat,Domestic Shorthair,Torbie,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878876
A878609,"78702(30.25848, -97.70011)",Yes (come to the shelter),04/14/2023,Dog,Pit Bull,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878609
A878716,"CLYDE LN AUSTIN 78754
(30.36059, -97.66154)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,White/Black,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878716
A879009,"AUSTIN 78746
(30.33179, -97.81146)",Yes (come to the shelter),04/20/2023,Cat,Domestic Medium Hair,Blue Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879009
A879014,"5005 BUFFALO PASS
AUSTIN 78745
(30.22331, -97.79847)",No (contact for more info),04/20/2023,Cat,Domestic Shorthair,Brown Tabby,Unknown,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879014
A878946,"7008 BETHUNE AVE
AUSTIN 78752
(30.32919, -97.69887)",Yes (come to the shelter),04/19/2023,Dog,German Shepherd,Black/Tan,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878946
A878848,"3011 SOUTH 5TH STREET
AUSTIN 78704
(30.23608, -97.76818)",Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair,Gray Tabby/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878848
A879023,"21109 RIDGEVIEW ROAD LAGO VISTA78645
(30.4719, -97.98512)",Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Blue Tabby/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879023
A868989,"5701 SPOKE CT
AUSTIN 78744
(30.19401, -97.75552)",Yes (come to the shelter),04/19/2023,Dog,Pit Bull,Gray/Gray,Intact Female,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A868989
A878884,"15713 SCHMIDT LOOP MANOR78653
(30.3926, -97.51803)",Yes (come to the shelter),04/18/2023,Dog,Labrador Retriever/Australian Cattle Dog,White/Brown,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878884
A878708,"W MOPAC EXPY
AUSTIN 78703",No (contact for more info),04/15/2023,Cat,Domestic Shorthair,Black,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878708
A879027,8718 FM78719,Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Black/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879027
